CityName,TouristSpot,Description,Images,Maps,Hotels,Attractions,Meals,
China,Great Wall Of China,"
Nobody can be a true hero unless he has been on the Great Wall goes the popular Chinese saying, one that clearly demonstrates the importance placed upon this unique ancient monument. The magnificent Great Wall of China (known in Chinese as Changcheng, or the Long Wall) stretches more than 6,000 kilometers from the fortresses of Shanhaiguan in the east all the way to Jiayuguan in the west, passing through Hebei, Tientsin, Beijing — where the best preserved sections of the wall can be visited —Inner Mongolia, Ningxia, and Gansu. Averaging six to eight meters in height but rising as high as 16 meters — and wide enough in places for five horses or 10 men to pass — the wall boasts numerous battlements and watchtowers, some dating back as far as the 7th century BC, with the best-known areas added around 210 BC when its various sections were joined. Today, the most visited section of the wall is near Badaling Pass northwest of Beijing, easily reached by public transport or organized tours. Other restored sections worth a visit include the section near Gubeikou, 130 kilometers from Beijing, and in Mutianyu, just 70 kilometers northeast of Beijing.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/640px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/10/20090529_Great_Wall_8185.jpg/620px-20090529_Great_Wall_8185.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Badaling_China_Great-Wall-of-China-01.jpg/620px-Badaling_China_Great-Wall-of-China-01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/27/A_long_stretch_of_the_Great_Wall.jpg/620px-A_long_stretch_of_the_Great_Wall.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/The_Great_Wall_of_China_in_a_clear_day_at_Badaling.jpg/620px-The_Great_Wall_of_China_in_a_clear_day_at_Badaling.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/%22The_First_Mound%22--the_west_end_of_the_Great_Wall.jpg/640px-%22The_First_Mound%22--the_west_end_of_the_Great_Wall.jpg','//upload.wikimedia.org/wikipedia/commons/6/60/Chemin_de_ronde_muraille_long.JPG','//upload.wikimedia.org/wikipedia/commons/d/d2/Great_Wall_of_China_view_1.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3036.9589574640213!2d116.57037489999999!3d40.4319077!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35f121d7687f2ccf%3A0xd040259b950522df!2sGreat%20Wall%20of%20China!5e0!3m2!1sen!2sin!4v1601285077874!5m2!1sen!2sin,"['Brickyard Retreat at Mutianyu Great Wall', 'Beijing Mutianyu Great Wall Wangshanyuan Farm Stay', 'Home of the Great Wall', 'Mutianyu Great Wall Hotel', 'Great Wall Village Story Hotel']",['Great Wall of China'],"['Great Wall Restaurant', 'CHINESE WALL']",
China,The Forbidden City,"
China's largest and most important building, the Forbidden City — also known as the Imperial Palace — is situated in the very heart of Beijing and is a must-see when visiting the country. Started during the Yuan Dynasty between 1271-1368, much of the complex seen today (it's really many splendid palaces in one) was built between 1406 and 1420 as the residence of 24 Ming and Qing Emperors, whose presence forbade the entry of anyone other than the imperial family and their courtesans. Covering some 720,000 square meters and protected by a 10-meter-high wall with watchtowers and a wide moat, this massive complex consists of areas set aside for ceremonial and administrative purposes, as well as a private residence used by the emperor. While it can take many hours to see everything, highlights include the five white marble Golden River Bridges; the Hall of Supreme Harmony, a 35-meter-tall building housing the imperial throne; the exquisite emperor's banquet hall (the Hall of Preserving Harmony); and the Palace Museum with its large collection of art and artifacts from the Ming and Qing dynasties, to name but a few. Other important attractions in the vicinity of the Imperial Palace include famous Tiananmen Square, and the Temple of Heaven, one of the country's most important religious sites, which dates back to the 15th century.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/The_Forbidden_City_-_View_from_Coal_Hill.jpg/620px-The_Forbidden_City_-_View_from_Coal_Hill.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Meridian_Gate%2C_Beijing.jpg/620px-Meridian_Gate%2C_Beijing.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Forbiden_city-Beijing-China_-_panoramio_%2818%29.jpg/620px-Forbiden_city-Beijing-China_-_panoramio_%2818%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Forbidden_City_%2825737200388%29.jpg/620px-Forbidden_City_%2825737200388%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Forbidden_City_Beijing_%283019178959%29.jpg/620px-Forbidden_City_Beijing_%283019178959%29.jpg','//upload.wikimedia.org/wikipedia/commons/7/71/Exhibition_of_architecture_of_the_Forbidden_City_2015_December.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6120.211824189596!2d116.38957615299806!3d39.91664596810811!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35f052e94515d43d%3A0x674e2bd4dd3079f!2sForbidden%20City!5e0!3m2!1sen!2sin!4v1601286540999!5m2!1sen!2sin,"['Palace Hotel Forbidden City', 'The Palace Museum']","['The Palace Museum', 'Forbidden City']","['The Palace Museum', 'Forbidden City']",
China,Terracotta Army,"
It was while digging wells on the outskirts of Xi'an in the 1970s that farmers stumbled across what was to be China's most important archeological find: the Terracotta Army. Distributed over three large underground pits and built to guard the First Emperor's tomb were more than 8,000 life-size warriors, some 520 horses, and more than 100 chariots, along with numerous other non-military characters dating from around 280 BC. Although some were severely damaged due to the passing of time, many of the statues unearthed have been painstakingly re-assembled and stand as testament to the importance bestowed upon the emperor and the afterlife. The site — part of the Emperor Qin Shi Huang's Mausoleum Site Park — is one of China's most important tourist destinations and offers the unforgettable experience of standing in front of this assembly of soldiers and horses as if inspecting a centuries-old parade.","['//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Terracotta_Army%2C_View_of_Pit_1.jpg/690px-Terracotta_Army%2C_View_of_Pit_1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Terracotta_Army-China2.jpg/620px-Terracotta_Army-China2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/2015-09-22-081415_-_Terrakotta-Armee%2C_Grosse_Halle.jpg/620px-2015-09-22-081415_-_Terrakotta-Armee%2C_Grosse_Halle.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Terracotta_Army_Pit_1_-_2.jpg/620px-Terracotta_Army_Pit_1_-_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/af/I_was_impressed_with_the_life-like_expression_%2835300697030%29.jpg/620px-I_was_impressed_with_the_life-like_expression_%2835300697030%29.jpg','//upload.wikimedia.org/wikipedia/commons/5/5d/Terracota_warriors_002.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3292.677583683333!2d109.27630311470864!3d34.38411970761605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3664a72d821403a3%3A0xc3e33e74e9e33fc7!2sEmperor%20Qinshihuang&#39,s%20Mausoleum%20Site%20Museum!5e0!3m2!1sen!2sin!4v1601330350355!5m2!1sen!2sin,"[""Angsana Xi'an Lintong"", 'Terra-Cotta Warriors Guesthouse', 'Jinqiu Yixinyuan Hotel', 'Fulin Hotel', 'Jin Qiu Yi Xin Hotel- Lintong']","[""Emperor Qinshihuang's Mausoleum Site Museum""]","[""Emperor Qinshihuang's Mausoleum Site Museum""]"
China,Summer Palace,"
An easy 15-kilometer commute from Beijing, the sumptuous Imperial Summer Palace (Yíhé Yuán) is set amid more than 700 acres of beautiful parkland and is one of China's most visited attractions. While the palace itself was built in 1153, its large lake was added in the 14th century to enhance the Imperial Gardens. Highlights include the magnificent Hall of Well-being and Longevity (Renshou Dian) with its throne, and the beautiful Great Theatre, a private three-story structure built in 1891 to satisfy the imperial family's love of opera and still used for performances of traditional Chinese plays and musical events. Other highlights include the Hall of Happiness and Longevity (Le Shou Tang Hall), with its lovely gardens and courtyards, as well as many miles of picturesque pathways and walking trails. If time allows, try to also take in the ruins of the Old Summer Palace, said to have once been one of the country's most elaborate and architecturally attractive palaces, but which was sadly destroyed by colonial forces in the mid-1800s.","['//upload.wikimedia.org/wikipedia/commons/1/1f/Scenery_of_Longevity_Hill.JPG','//upload.wikimedia.org/wikipedia/commons/4/4d/Residence_dete828.JPG','//upload.wikimedia.org/wikipedia/commons/5/56/Wenchang_Pavilion_%28Summer_Palace%2C_Beijing%29_in_summer.JPG','//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Wenchang_Tower_or_Pavillion%2C_Summer_Palace%2C_Beijing%2C_2018.jpg/620px-Wenchang_Tower_or_Pavillion%2C_Summer_Palace%2C_Beijing%2C_2018.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/2014.08.27.125220_Ornaments_Sumeru_Lingjing_Summer_Palace_Beijing.jpg/620px-2014.08.27.125220_Ornaments_Sumeru_Lingjing_Summer_Palace_Beijing.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2014.08.27.135937_Paiyun_Dian_Foxiang_Ge_Summer_Palace_Beijing.jpg/620px-2014.08.27.135937_Paiyun_Dian_Foxiang_Ge_Summer_Palace_Beijing.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Summer_Palace_scene_1.jpg/620px-Summer_Palace_scene_1.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3056.3789465363025!2d116.27327727918357!3d39.99998227951644!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3402f8c7b9c38f3f%3A0x45d9b1774c04a132!2sSummer%20Palace!5e0!3m2!1sen!2sin!4v1601287514528!5m2!1sen!2sin,"['????????', 'Beijing Post & Telecom Conference Center ?East Gate?', 'Beijing Xihua Business Hotel', 'Ariva Beijing West', 'Post Hotel']",['Summer Palace'],['Summer Palace'],
China,Li River,"
The town of Guilin, in the northeast corner of Guangxi, boasts some of China's most beautiful countryside and is famous for the Li River, which meander through the town and surrounding karst mountains. While for hundreds of years this unique scenery has attracted poets and artists and has been the subject of countless fairy tales and legends, these days it's popular with tourists from around the world wanting to see this natural splendor up close. The best way to enjoy the area is to take a cruise along the Li River. The most popular stretch is from Guilin to Yangshuo, where the river meanders peacefully through some 80 kilometers of remarkable rock formations and caves with romantic names such as the Mount of Unique Beauty, Elephant Trunk Hill, and Reed Flute Cave.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/21/%E6%BC%93%E6%B1%9F%E5%B1%B1%E6%B0%B4.jpg/620px-%E6%BC%93%E6%B1%9F%E5%B1%B1%E6%B0%B4.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lijiang_River%2C_Guilin%2C_1988.jpg/620px-Lijiang_River%2C_Guilin%2C_1988.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/77/The_Li_River.jpg/620px-The_Li_River.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Elephant_Trunk_Hill.jpg/620px-Elephant_Trunk_Hill.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Image_at_the_Lijiang_River.jpg/620px-Image_at_the_Lijiang_River.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/LijiangRiver12.jpg/620px-LijiangRiver12.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Image_at_the_Lijiang_River_2.jpg/680px-Image_at_the_Lijiang_River_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rio_li_Guilin.jpg/680px-Rio_li_Guilin.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d924979.1399122025!2d109.90283465603618!3d25.09509826712318!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x36a4510317af703f%3A0xdc6ed0a59fcf2969!2sLi%20River!5e0!3m2!1sen!2sin!4v1601287616877!5m2!1sen!2sin,"['Li River', 'CTN Li River Hotel']",['Li River'],"['Li River Cuisine', 'Lijiang Restaurant', 'Lijiangyu Restaurant', 'Lijiang Fresh Fish Restaurant', 'Lotus Restaurant']",
China,Chengdu Research Base Of Giant Panda Breeding,"
No visit to China would be complete without at least one panda experience. While the country's top zoos boast many fine specimens of these fascinating creatures, the best place to see them in a close approximation to their natural habitat is at the excellent Research Base of Giant Panda Breeding in Chengdu, located in the province of Sichuan. Here, you'll have the chance to watch as many as 80 pandas go about their daily routines, from foraging to playing in the facility's large park-like setting. In addition to viewing these splendid animals up close, you'll learn a great deal about them from the many permanent exhibits and displays detailing ongoing conservation efforts to safeguard their future. English language tours are available. If possible, try to time your visit for the morning feeding sessions when the pandas are at their most active; better still, sign-up for one of the unique experiential volunteer programs that will have you involved in the feeding and care of these cuddly creatures... and possibly even holding a baby panda.","['//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Chengdu_panda_breeding.jpg/675px-Chengdu_panda_breeding.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Chengdu_Research_Base_Eingang.jpg/620px-Chengdu_Research_Base_Eingang.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Chengdu_Research_Base_of_Giant_Panda_Breeding_Eingangsschild.jpg/620px-Chengdu_Research_Base_of_Giant_Panda_Breeding_Eingangsschild.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/1_panda_trio_sichuan_china_2011.jpg/620px-1_panda_trio_sichuan_china_2011.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3429.4815042825285!2d104.14362131461077!3d30.73297359267313!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x36efd0e00f9a5bf1%3A0xd3cd637087189177!2sChengdu%20Research%20Base%20of%20Giant%20Panda%20Breeding!5e0!3m2!1sen!2sin!4v1601330558006!5m2!1sen!2sin,"['Crowne Plaza CHENGDU PANDA GARDEN', 'Hilton Chengdu Chenghua', 'ibis Chengdu West Jingcui Road', 'Ibis Chengdu Zoo Subway Station Branch', 'Chengdu Seaside Boya Hotel']",[],[],
China,The Classical Gardens Of Suzhou,"
Considered one of the world's most important historic gardens — hence their designation as a UNESCO World Heritage Site — the Classical Gardens of Suzhou should rank highly on your China travel itinerary. Located in the historic city of Suzhou in Jiangsu province, these magnificent gardens were established in the 11th century, at a time when the city was experiencing unprecedented growth, and were among some 270 or more gardens planted here. Of the surviving restored gardens, the most famous is the delightful Garden of Lingering, a seven-acre site laid out in 1800 on the site of a park originally created during the Ming Dynasty. One of the most famous garden complexes in China, the garden boasts a pool, several attractive buildings, a man-made hill, a grove of peach trees, and a lovely covered pathway on the walls of which hang more than three hundred stone tablets engraved with old Chinese characters. Also worth visiting is the Garden of the Cang Lang Ting Pavilion, a two-acre garden offering many unique features, including a double arcade connecting the inner and outer sections.","['//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Youyicun_garden.jpg/660px-Youyicun_garden.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Xiangzhou_of_Zhuozhengyuan_Suzhou_4th_Aug_2006.jpg/650px-Xiangzhou_of_Zhuozhengyuan_Suzhou_4th_Aug_2006.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Liuyuan.jpg/650px-Liuyuan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Master_of_Nets_Garden_1.jpg/650px-Master_of_Nets_Garden_1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Mountain_garden_main_grotto.jpg/650px-Mountain_garden_main_grotto.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/20090905_Suzhou_Couple%27s_Retreat_Garden_4442.jpg/650px-20090905_Suzhou_Couple%27s_Retreat_Garden_4442.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Fry_pavilion.jpg/650px-Fry_pavilion.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Canglangting_entry_hall.jpg/650px-Canglangting_entry_hall.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/20090905_Suzhou_Lion_Grove_Garden_4520.jpg/650px-20090905_Suzhou_Lion_Grove_Garden_4520.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Retreat_garden_thatched_hall.jpg/650px-Retreat_garden_thatched_hall.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3408.258637778998!2d120.62778031462584!3d31.324229563936175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35b3a6cfc28acf29%3A0xfc4b56505fa95975!2sClassical%20Gardens%20of%20Suzhou!5e0!3m2!1sen!2sin!4v1601330739257!5m2!1sen!2sin,"['Suzhou Little Courtyard Inn', 'Scholars Hotel PingJiangFu Suzhou', 'Suzhou Tianyiju Inn ZhuoZhengYuan', 'SUZHOU LEIDEN GARDEN HOTEL', 'SUZHOU LEISURE BNB']","[""Humble Administrator's Garden""]",[],
Japan,Mount Fuji,"
Without a doubt Japan's most recognizable landmark, majestic Mount Fuji (Fuji-san) is also the country's highest mountain peak, towering 3,776 meters over an otherwise largely flat landscape to the south and east, and tall enough to be seen from Tokyo more than 100 kilometers away. Mount Fuji has for centuries been celebrated in art and literature and is now considered so important an icon that UNESCO recognized its world cultural significance in 2013. Part of the Fuji-Hakone-Izu National Park, Mount Fuji is climbed by more than a million people each summer as an act of pilgrimage, which culminates in watching the sunrise from its summit. While some still choose to begin their climb from the base, the majority of climbers now start from above the halfway mark, at the 5th Station, resulting in a more manageable six or so hour ascent. Of course, for many, simply viewing the mountain from the distance, or from the comfort of a speeding train, is enough to say been there, done that.","['//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/080103_hakkai_fuji.jpg/670px-080103_hakkai_fuji.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Outer_shrine_of_Fujisan_Hongu_SengenTaisha_%28%E5%AF%8C%E5%A3%AB%E5%B1%B1%E6%9C%AC%E5%AE%AE%E6%B5%85%E9%96%93%E5%A4%A7%E7%A4%BE%29_-_panoramio.jpg/610px-Outer_shrine_of_Fujisan_Hongu_SengenTaisha_%28%E5%AF%8C%E5%A3%AB%E5%B1%B1%E6%9C%AC%E5%AE%AE%E6%B5%85%E9%96%93%E5%A4%A7%E7%A4%BE%29_-_panoramio.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/MtFuji_FujiCity.jpg/608px-MtFuji_FujiCity.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Chuurei-tou_Fujiyoshida_17025277650_c59733d6ba_o.jpg/676px-Chuurei-tou_Fujiyoshida_17025277650_c59733d6ba_o.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mount_Fuji_from_space_%28shuttle_mission%29.jpg/672px-Mount_Fuji_from_space_%28shuttle_mission%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mount_Fuji_from_Mount_Kita_s1.jpg/645px-Mount_Fuji_from_Mount_Kita_s1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lake_Fuji_Japan_with_mountains%2C_lakes_and_kayaks_in_the_foreground.jpg/645px-Lake_Fuji_Japan_with_mountains%2C_lakes_and_kayaks_in_the_foreground.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Mount_Fuji_from_Tenjoyama_Park.jpg/697px-Mount_Fuji_from_Tenjoyama_Park.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Fujikaiyu_e353.jpg/645px-Fujikaiyu_e353.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d52060.79322061923!2d138.69242957981652!3d35.36061997372397!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6019629a42fdc899%3A0xa6a1fcc916f3a4df!2sMount%20Fuji!5e0!3m2!1sen!2sin!4v1601288084567!5m2!1sen!2sin,"['Hatago Ichiya', 'Hotel Mount Fuji', '?? ?? hatago tsubakiya', 'Hostel Fujisan YOU', 'Highland Resort Hotel & Spa']",['Mount Fuji'],['Mount Fuji'],
Japan,Tokyo Imperial Palace,"
Tokyo's most famous landmark, the Imperial Palace with its beautiful 17th-century parks surrounded by walls and moats, is a must-see when visiting the nation's capital. Don't be put off by the fact that the majority of the palace is closed to the public (it's still in use by the Imperial family), as there is still enough to see simply by strolling the grounds. In addition to the many fine views of the palace from numerous points in the surrounding parkland - including the famous Nijubashi Bridge, or double bridge, so named for its watery reflection - visitors are permitted into the East Higashi-Gyoen Garden and other areas that are opened to the public as part of an organized tour. Another must-see for tourists visiting Tokyo is the famous Ginza shopping district, home to the Kabuki-za Theatre with its Kabuki performances, as well as the Shimbashi Enbujo Theatre with its traditional Azuma-odori dances and Bunraku performances.","[ '//upload.wikimedia.org/wikipedia/commons/a/ac/Seimon_Ishibashi.JPG','//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Tokyo_Imperial_Palace_kyuden_cyouwaden.jpg/620px-Tokyo_Imperial_Palace_kyuden_cyouwaden.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Fukiage_Garden_photo_D_Ramey_Logan.jpg/620px-Fukiage_Garden_photo_D_Ramey_Logan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Suwano-chaya_Tea_House_photo_D_Ramey_Logan.jpg/620px-Suwano-chaya_Tea_House_photo_D_Ramey_Logan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/%E6%A1%9C%E7%94%B0%E5%B7%BD%E6%AB%93.jpg/620px-%E6%A1%9C%E7%94%B0%E5%B7%BD%E6%AB%93.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2705.4542425161712!2d139.750489488039!3d35.68538222478749!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c0d02d8064d%3A0xd11a5f0b379e6db7!2sImperial%20Palace!5e0!3m2!1sen!2sin!4v1601288325958!5m2!1sen!2sin,"['Palace Hotel Tokyo', 'Imperial Hotel Tokyo', 'Hoshinoya Tokyo', 'Tokyo Green Palace', 'Aman Tokyo']",['K?kyo Higashi-gyoen'],"['Sushi Kanesaka Palace Hotel Tokyo', 'Imperial Hotel Tokyo', 'Grand Kitchen', 'K?kyo Higashi-gyoen', 'L�art et Mikuni']",
Japan,Hiroshima Peace Memorial Park,"
While little need be said here of the horrors of the atomic bombing of Hiroshima in August 1945, much can be said of the incredible efforts this vibrant city has made to commemorate the many victims of the world's first nuclear attack, and perhaps even more importantly, the symbol of lasting peace Hiroshima has since become. Visited by more than a million people each year, many from overseas, Hiroshima Peace Memorial Park (Hiroshima Heiwa Kinen Kōen) lies at the epicenter of the atomic blast in what was once a bustling part of the city and includes a number of important monuments, memorials, and museums relating to the events of that fateful day. In addition to the grounds and gardens with their colorful cherry blossoms, the park's highlights include the Peace Memorial Museum with its numerous exhibits dealing with the issue of world peace, and the Memorial Cenotaph and the Flame of Peace, as well as the Atom Bomb Dome, the ruins of an administrative building that lay at the center of the explosion.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Old_and_New.jpg/650px-Old_and_New.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/58/The_Basement_of_the_Rest_House.jpg/620px-The_Basement_of_the_Rest_House.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hiroshima_Peace_Memorial_Museum_2009.jpg/600px-Hiroshima_Peace_Memorial_Museum_2009.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hiroshima_Statues_Mus%C3%A9e_pour_la_Paix.jpg/620px-Hiroshima_Statues_Mus%C3%A9e_pour_la_Paix.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Cenotaph_Hiroshima.jpg/675px-Cenotaph_Hiroshima.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Hiroshima_Peace_Bell.jpg/675px-Hiroshima_Peace_Bell.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Atomic_Bomb_Memorial_Mound.jpg/650px-Atomic_Bomb_Memorial_Mound.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Peace_Gates.jpg/675px-Peace_Gates.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/70/HiroshimaMobilizedStudents6690.jpg/675px-HiroshimaMobilizedStudents6690.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/A_bomb_dome_hiroshima_sunset.jpg/650px-A_bomb_dome_hiroshima_sunset.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3292.3445928591673!2d132.45012257897682!3d34.39258628061015!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x355aa26d54333083%3A0xe129ced5b9751665!2sPeace%20Memorial%20Park%20-%20Hiroshima!5e0!3m2!1sen!2sin!4v1601288452258!5m2!1sen!2sin,"['Hotel Park Side Hiroshima Peace Park', 'Sotetsu Grand Fresa Hiroshima', 'ANA Crowne Plaza Hiroshima', 'Dormy Inn Hiroshima', 'Santiago GH Hiroshima']","['Atomic Bomb Dome', 'Hiroshima Peace Memorial Museum', 'Hiroshima Victims Memorial Cenotaph', 'Pond of Peace', 'Gates of Peace']","['Atomic Bomb Dome', 'Hiroshima Peace Memorial Museum', 'Nagataya', 'Ekohiiki', 'Okonomimura']",
